Temp,DO,% Sat,pH,Conductivity,Flow2,Nitrate + Nitrite
12.50,9.30,,7.80,843,,2.800
12.20,9.50,,7.90,791,,1.800
19.90,8.70,,8.10,1031,,5.000
20.40,8.50,,8.10,980,,3.900
24.90,7.30,,8.30,947,,3.500
25.10,7.10,,8.30,872,,2.400
18.12,7.35,78.2,7.74,783,54.31,5.700
26.67,6.10,77.2,7.70,597,36.13,0.300
27.55,2.51,31.2,7.23,820,15.35,0.020
18.54,3.43,37.7,7.18,804,19.37,0.120
22.05,5.08,56.2,7.37,601,123.66,0.400
24.87,7.65,75.1,7.63,621,94.78,0.080
16.56,6.30,65.6,7.20,930,30.87,0.110
19.53,8.28,90.7,8.05,774,49.07,0.140
24.91,6.75,81.6,7.82,739,3.40,0.360
16.80,5.25,60.3,7.65,642,1.19,2.300
20.20,5.20,64.0,8.06,1378,,0.490
25.93,7.32,93.0,7.69,820,65.84,0.670
21.17,7.11,81.9,7.88,831,,2.600
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
20.90,7.90,,7.90,902,,4.000
21.10,7.50,,7.80,851,,2.200
18.00,7.30,,7.70,618,,1.300
17.80,7.20,,7.70,532,,1.400
12.70,6.70,64.9,7.35,858,72.07,1.900
12.16,8.66,82.7,7.82,641,78.47,0.310
12.83,6.60,64.0,7.38,768,0.17,<0.0070
10.73,6.75,62.5,7.49,934,11.33,0.220
10.55,7.74,71.3,7.60,700,175.17,0.400
12.93,8.07,78.5,7.80,868,97.83,<0.0070
14.86,8.65,87.8,7.57,918,56.72,0.210
15.40,8.30,85.2,7.82,824,73.11,0.150
16.79,9.23,97.6,8.03,734,27.72,0.076
16.28,8.86,92.5,8.18,629,40.52,0.013
18.84,11.91,131.3,8.33,813,16.23,0.740
15.31,8.40,86.3,7.73,1433,19.85,1.700
17.08,11.15,118.5,7.96,714,238.17,0.250
,,,,,,0.250
16.54,8.56,90.0,7.94,851,,1.800
19.20,8.40,,8.00,992,797.32,4.000
21.80,7.90,,8.00,930,,2.800
13.30,6.42,61.5,7.42,812,52.16,2.600
14.40,8.78,85.9,7.82,623,84.07,0.140
13.70,6.52,62.8,7.44,789,25.82,<0.0070
11.30,7.06,64.4,7.41,869,16.85,0.057
13.00,7.11,68.0,7.58,634,241.20,0.260
15.60,8.72,87.7,7.90,266,126.07,0.043
15.90,8.82,85.3,7.66,801,37.89,0.190
14.80,8.98,88.6,7.99,728,102.54,0.260
15.20,9.15,91.0,8.10,664,16.57,0.140
15.60,9.06,91.1,8.11,528,58.25,0.095
20.00,9.82,108.1,8.13,819,58.28,0.410
,,,,,,0.420
16.50,7.60,77.9,7.72,1112,37.58,1.800
16.40,9.89,101.2,7.86,704,354.61,0.660
16.80,7.37,76.1,7.91,758,,2.800
,,,,,1190.92,
,,,,,,
12.91,7.76,74.6,7.69,846,49.04,1.200
15.81,7.93,81.5,8.00,724,53.32,0.180
13.91,6.50,64.1,7.61,929,11.24,0.000
12.58,4.38,42.1,7.47,931,19.62,0.110
14.11,6.86,67.7,7.79,699,131.98,0.320
15.91,8.98,89.9,7.90,913,81.69,0.046
12.53,9.09,86.9,7.81,913,30.30,0.150
12.53,9.09,86.9,7.81,913,30.30,0.140
14.11,8.95,89.2,8.10,823,62.07,0.081
18.09,8.67,93.7,8.17,788,23.84,0.200
16.37,8.73,91.2,8.27,651,25.68,0.049
23.62,8.84,102.5,8.05,858,18.89,0.700
16.70,8.57,81.7,7.81,1480,8.81,1.000
18.18,10.01,109.2,8.04,799,149.26,0.390
16.49,7.73,80.9,8.09,885,,2.100
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
13.26,6.81,66.7,7.63,854,60.94,2.600
15.83,7.13,73.8,7.99,757,74.19,0.270
15.19,5.07,51.9,7.58,955,14.38,0.009
12.66,4.64,44.8,7.47,911,13.14,0.086
13.93,6.82,67.8,7.83,677,165.65,0.320
17.03,7.34,77.9,7.89,896,131.96,0.110
13.24,7.67,75.1,7.55,836,44.94,0.230
14.38,8.05,80.8,8.19,821,78.75,0.130
15.27,7.27,74.4,8.16,776,23.90,0.290
16.24,7.90,82.5,8.33,640,284.22,0.089
22.48,9.63,114.1,8.49,894,23.43,0.170
15.69,7.67,79.3,8.19,1082,12.60,0.900
15.69,7.67,79.3,8.19,1082,12.60,0.920
16.58,7.68,80.8,8.00,778,159.37,0.430
17.64,7.03,75.6,8.17,864,1604.35,1.900
20.26,8.64,,8.05,1068,706.31,5.300
21.85,8.18,,8.04,973,,3.300
15.07,7.41,75.5,7.50,845,54.23,4.000
20.74,6.68,76.4,7.99,755,41.00,0.240
19.93,5.06,57.1,7.58,1042,12.03,<0.0070
16.27,4.17,43.6,7.38,899,37.17,<0.0070
20.71,5.11,58.4,7.68,645,165.20,0.260
22.00,7.19,84.3,7.81,794,150.31,0.250
14.41,8.49,85.2,7.67,910,34.07,0.130
16.86,8.29,87.7,8.05,785,57.14,<0.0070
19.82,7.12,80.0,8.10,764,16.14,0.350
21.66,7.67,89.3,8.26,614,23.30,<0.0070
26.66,9.03,115.6,8.13,905,59.98,<0.0070
22.51,5.77,68.3,7.64,735,121.39,1.700
22.51,5.77,68.3,7.64,735,121.39,1.600
21.82,7.11,83.1,7.81,715,188.02,0.550
23.58,6.74,81.5,7.96,843,1270.44,2.700
,,,,,869.27,
,,,,,,
15.05,7.10,72.3,7.52,840,51.28,2.000
20.62,7.11,81.2,8.04,783,30.55,0.440
18.88,5.66,62.5,7.60,1067,8.86,<0.0070
15.99,5.27,54.8,7.38,910,7.68,0.100
19.08,5.87,64.9,7.68,652,95.80,0.240
21.05,6.96,80.2,7.80,909,72.55,<0.0070
14.49,8.67,87.3,7.66,913,36.39,0.130
16.78,8.39,88.6,8.06,797,53.80,<0.0070
16.78,8.39,88.6,8.06,797,53.80,<0.0070
20.02,7.27,82.0,8.14,803,10.93,0.320
21.83,7.71,90.1,8.25,609,15.04,0.140
24.12,8.48,104.7,7.98,756,3.40,0.770
21.64,4.80,56.5,7.57,1103,3.88,0.400
21.11,7.47,86.1,7.97,810,83.99,0.540
22.74,7.26,86.4,8.01,1028,952.89,6.200
19.93,9.65,,8.19,1023,576.05,5.300
20.67,9.29,,8.18,965,,3.800
14.64,7.13,72.0,7.54,842,62.47,1.500
14.64,7.13,72.0,7.54,842,62.47,1.500
19.68,7.42,83.2,8.09,830,25.57,0.430
18.09,6.53,71.0,7.69,1149,4.59,<0.0070
16.00,4.58,47.6,7.41,915,22.71,<0.0070
19.31,5.80,64.5,7.79,683,71.47,0.210
20.17,7.39,83.7,7.86,947,54.40,<0.0070
13.94,8.59,85.3,7.68,912,34.52,0.120
15.89,8.59,89.0,8.08,776,49.58,<0.0070
18.84,7.17,79.0,8.14,771,12.91,0.260
20.11,7.69,87.0,8.29,608,26.50,<0.0070
16.08,5.04,52.4,7.36,715,1.56,2.800
20.90,2.45,28.1,7.55,814,1.16,0.410
19.01,6.51,72.1,7.85,699,57.00,0.710
20.82,7.56,86.8,8.18,975,745.78,4.100
,,,,,,
,,,,,,
14.32,7.53,75.6,7.58,849,63.91,2.800
19.05,7.08,78.3,8.04,770,47.71,0.230
16.85,6.61,70.0,7.66,1061,6.14,<0.0070
14.74,4.90,49.6,7.45,932,24.38,<0.0070
17.07,6.35,67.5,7.80,689,84.70,0.200
19.44,7.24,80.8,7.92,894,49.10,<0.0070
13.54,8.71,85.9,7.71,915,29.02,0.120
13.54,8.71,85.9,7.71,915,29.02,0.130
15.45,8.53,87.6,8.09,781,57.40,<0.0070
17.49,7.68,82.4,8.16,796,15.57,0.270
19.44,8.00,89.2,8.33,621,27.04,<0.0070
16.98,7.93,84.0,7.55,715,6.23,2.500
19.17,4.11,45.7,7.82,1487,3.82,0.660
18.19,7.77,84.6,7.98,838,105.96,0.620
19.86,7.54,84.8,8.20,958,992.79,3.800
,,,,, ,
,,,,,,
14.43,10.22,102.7,7.80,,46.95,13.7
15.44,9.67,99.3,8.05,,55.33,8.8
17.61,7.21,77.5,7.79,,20.02,0.0
14.06,8.26,,7.59,,20.57,2.7
18.05,8.45,91.6,7.93,,199.66,2.2
17.67,9.75,105.0,8.08,,90.98,0.0
13.90,8.91,88.5,7.83,,38.65,2.2
14.32,9.25,92.7,8.19,,72.66,0.9
10.76,9.49,87.8,8.00,,35.25,0.9
10.78,9.37,86.7,8.02,,35.25,0.4
14.85,9.40,95.4,8.34,,41.91,0.9
15.28,8.68,88.9,8.05,,23.79,1.8
11.44,8.32,78.4,7.83,,18.41,8.8
11.33,7.81,73.2,7.84,,194.06,1.3
13.31,8.34,81.8,8.18,,1614.80,13.2
13.28,8.22,80.5,7.61,,51.40,22.0
12.53,9.31,89.7,8.01,,49.98,8.8
14.39,7.33,73.6,7.77,,22.29,0.0
11.50,6.67,63.7,7.64,,21.93,0.0
13.76,8.74,86.4,7.91,,153.17,0.4
15.69,9.53,98.5,8.10,,86.90,0.0
13.53,8.59,84.7,7.84,,35.62,0.0
14.61,9.41,94.9,8.08,,68.50,0.0
14.43,8.64,87.7,8.10,,29.05,0.0
15.31,9.09,93.0,8.24,,36.61,0.0
18.56,10.95,119.8,8.51,,15.80,2.2
13.03,8.01,78.2,7.82,,12.40,9.3
16.53,9.24,97.1,8.14,,193.55,0.4
15.20,9.24,94.4,8.16,,1444.36,8.8
12.65,10.14,97.9,7.63,,,17.6
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
17.37,6.00,64.2,7.37,741,100.61,17.6
22.68,5.50,65.4,7.71,736,113.89,2.2
23.34,3.79,45.7,7.43,833,29.19,0.0
19.96,4.54,51.2,7.39,716,33.90,0.4
23.33,5.55,66.7,7.67,614,218.78,0.4
23.74,7.16,86.8,8.03,789,180.10,0.0
20.17,7.39,83.7,7.86,947,36.53,0.0
19.94,7.51,84.7,7.90,771,95.80,0.4
21.97,6.02,70.6,7.96,735,30.95,0.9
22.79,6.86,81.7,8.04,590,37.15,0.0
24.33,5.32,65.3,7.70,830,24.58,0.4
20.87,3.85,44.2,7.42,1124,34.04,9.5
21.48,6.32,73.4,7.71,760,189.84,0.0
21.49,6.32,73.4,7.84,742,2169.78,13.2
21.36,6.22,72.1,7.84,740,2169.78,13.2
20.96,3.24,37.2,7.22,405,5.49,0.9
20.51,6.48,73.8,7.45,605,108.82,22.0
24.03,5.80,70.7,7.75,680,109.13,2.2
25.36,2.78,34.7,7.31,797,22.37,0.0
20.93,7.14,82.1,7.52,825,30.62,0.2
27.37,6.34,82.2,7.72,644,141.07,0.2
25.61,7.55,94.8,7.98,792,98.60,0.0
16.86,7.60,80.4,7.59,860,41.88,0.0
17.81,7.69,83.0,7.88,778,41.17,0.4
20.80,7.18,82.1,7.91,696,49.61,1.3
21.25,7.45,86.1,8.05,594,42.98,0.2
23.25,4.06,48.7,7.48,660,28.46,2.2
23.10,4.83,57.8,7.50,659,28.46,2.2
18.85,3.30,36.5,7.42,1249,11.86,9.8
19.65,6.42,71.9,7.66,741,223.76,4.4
20.55,6.62,75.6,7.87,748,2052.66,8.8
19.25,3.46,38.4,7.35,394,7.35,2.7
16.40,6.23,65.3,7.43,818,54.26,34.0
19.98,7.31,82.4,7.95,754,45.73,0.9
21.84,4.95,57.9,7.50,912,14.33,0.0
15.81,7.08,73.3,7.47,838,10.50,0.0
24.93,8.17,101.3,7.96,644,127.77,0.4
23.79,7.96,96.6,8.07,851,77.33,0.0
17.08,7.37,78.4,7.76,830,101.18,0.0
17.01,8.25,87.6,7.92,758,64.65,1.1
16.55,7.95,83.5,8.12,731,28.32,0.4
19.09,7.80,86.4,8.20,594,27.10,0.0
19.07,7.80,86.3,8.20,594,27.10,0.0
21.72,9.42,109.9,8.11,705,7.90,2.4
15.80,3.91,40.5,7.61,1359,5.75,2.7
16.55,7.16,75.3,7.82,760,170.01,1.3
17.56,7.07,75.9,8.00,858,987.49,11.0
17.61,4.14,44.5,7.41,475,2.55,9.5
15.48,7.05,72.5,7.53,866,50.57,22.0
19.63,7.83,87.7,8.08,886,43.75,2.2
20.70,5.41,61.9,7.61,1014,8.64,0.0
16.10,7.75,80.7,7.55,911,1.79,0.0
24.51,8.35,102.7,8.01,686,114.43,0.9
23.07,8.23,98.6,8.13,914,80.14,0.0
15.66,8.00,82.6,7.78,883,105.85,0.0
15.79,8.54,88.3,8.10,818,57.91,0.2
17.10,8.08,86.0,8.17,806,20.81,0.9
19.03,8.07,89.3,8.26,623,30.10,0.0
21.73,6.94,81.0,7.88,766,13.28,0.9
15.74,3.55,36.8,7.43,1308,5.27,2.2
16.78,7.83,82.7,7.90,814,142.38,1.8
17.52,7.35,78.9,8.09,966,1261.29,8.8
15.60,3.51,36.1,7.40,272,0.74,1.3
13.44,7.18,70.6,7.58,843,64.99,
16.50,7.60,79.8,7.94,717,75.18,
16.53,6.43,67.6,7.76,669,260.03,
17.98,8.40,90.9,8.18,867,140.79,
12.75,8.67,84.0,7.75,907,45.73,
14.57,8.67,87.4,8.15,806,94.49,
14.57,8.66,87.3,8.08,807,94.49,
15.91,7.51,77.8,8.18,644,38.06,
15.00,5.38,54.8,7.63,1147,18.26,
14.98,5.08,51.7,7.62,1154,18.26,
15.40,7.50,76.9,7.85,771,244.54,
16.16,6.43,67.3,7.38,834,65.41,
21.76,6.45,75.0,7.78,804,47.06,
19.35,5.24,58.3,7.60,686,173.69,
22.78,6.43,76.6,7.87,864,107.94,
22.67,6.47,76.7,7.85,865,107.94,
14.48,8.55,86.0,7.56,918,46.45,
19.47,7.80,87.3,7.91,800,68.64,
23.50,6.87,83.1,8.06,606,24.98,
21.41,5.56,64.5,7.59,1200,6.11,
23.88,6.18,75.1,7.64,723,224.21,
14.46,7.29,73.3,7.66,868,62.86,
18.35,7.26,79.2,8.16,836,35.68,
17.16,5.57,59.3,7.81,710,143.00,
17.17,5.53,58.9,7.82,709,143.00,
19.80,6.87,77.2,8.05,886,97.80,
13.66,8.77,86.6,7.82,926,43.89,
16.14,8.75,91.3,8.22,803,60.88,
20.34,7.76,88.0,8.44,591,18.12,
18.26,4.13,45.1,7.79,1443,1.42,
19.31,7.20,80.2,8.12,823,109.30,
15.15,6.90,70.4,7.59,859,54.93,
20.14,7.00,79.2,8.05,850,41.96,
19.18,5.09,56.5,7.80,701,129.69,
19.19,4.94,54.8,7.81,701,129.69,
21.94,6.86,80.4,8.09,851,167.07,
15.13,7.77,80.8,7.71,870,56.07,
17.93,8.24,89.4,8.17,768,67.96,
21.09,7.76,89.4,8.34,609,37.82,
21.86,6.20,72.6,7.72,783,33.41,
21.48,6.49,75.3,7.85,636,297.33,
